order_id,customer_id,order_date,order_status,shipping_city
1,268,2025-01-22,Delivered,Nashik
2,167,2024-06-27,Delivered,Kolkata
3,19,2025-11-17,Cancelled,Hyderabad
4,2,2025-07-21,Delivered,Mumbai
5,142,2024-12-24,Delivered,Jaipur
6,197,2025-01-26,Delivered,Delhi
7,181,2024-04-06,Delivered,Pune
8,92,2025-11-26,Delivered,Chennai
9,418,2025-11-26,Delivered,Jaipur
10,187,2025-02-08,Delivered,Hyderabad
11,83,2024-07-03,Delivered,Kolkata
12,191,2024-03-27,Cancelled,Kolkata
13,1,2024-08-22,Delivered,Pune
14,36,2024-12-05,Delivered,Surat
15,265,2025-01-23,Delivered,Pune
16,420,2025-12-22,Processing,Surat
17,409,2025-06-25,Delivered,Pune
18,420,2024-04-21,Cancelled,Surat
19,341,2024-09-06,Delivered,Delhi
20,466,2024-09-06,Shipped,Jaipur
21,329,2025-03-30,Shipped,Delhi
22,319,2025-08-02,Delivered,Hyderabad
23,106,2025-11-05,Delivered,Jaipur
24,144,2025-04-11,Delivered,Surat
25,277,2025-12-26,Delivered,Pune
26,440,2024-02-15,Delivered,Chennai
27,399,2024-04-04,Delivered,Nagpur
28,394,2025-04-06,Delivered,Jaipur
29,77,2025-11-03,Delivered,Delhi
30,207,2025-06-14,Delivered,Nagpur
31,152,2025-04-26,Delivered,Chennai
32,37,2024-12-11,Returned,Pune
33,263,2024-09-07,Delivered,Kolkata
34,46,2025-05-10,Processing,Jaipur
35,292,2024-01-30,Delivered,Nashik
36,145,2025-10-13,Shipped,Pune
37,139,2025-12-25,Delivered,Hyderabad
38,376,2025-04-26,Delivered,Nashik
39,181,2025-11-22,Delivered,Pune
40,368,2025-06-23,Delivered,Chennai
41,448,2025-02-14,Shipped,Nashik
42,295,2025-01-06,Cancelled,Hyderabad
43,166,2024-11-02,Delivered,Jaipur
44,202,2024-09-06,Delivered,Jaipur
45,233,2024-11-17,Delivered,Delhi
46,414,2024-03-07,Delivered,Bengaluru
47,66,2025-04-23,Delivered,Bengaluru
48,153,2024-01-15,Delivered,Ahmedabad
49,403,2024-05-24,Shipped,Hyderabad
50,470,2025-09-20,Delivered,Mumbai
51,457,2025-05-02,Delivered,Pune
52,436,2024-07-19,Delivered,Nashik
53,141,2024-07-25,Delivered,Ahmedabad
54,458,2025-10-26,Delivered,Mumbai
55,481,2025-01-30,Shipped,Pune
56,385,2025-11-26,Delivered,Pune
57,373,2024-07-05,Delivered,Pune
58,33,2024-08-21,Returned,Ahmedabad
59,260,2024-10-18,Shipped,Chennai
60,273,2024-01-17,Delivered,Ahmedabad
61,351,2025-09-30,Delivered,Nagpur
62,182,2024-11-20,Cancelled,Mumbai
63,424,2025-09-15,Delivered,Nashik
64,429,2025-02-01,Delivered,Ahmedabad
65,222,2025-04-06,Delivered,Bengaluru
66,405,2024-06-27,Cancelled,Ahmedabad
67,478,2025-11-05,Processing,Jaipur
68,469,2025-12-15,Shipped,Pune
69,499,2025-07-12,Shipped,Hyderabad
70,53,2024-12-16,Delivered,Delhi
71,350,2024-06-24,Delivered,Mumbai
72,317,2024-07-30,Delivered,Delhi
73,231,2025-03-03,Delivered,Nagpur
74,144,2024-06-08,Processing,Surat
75,146,2025-09-20,Delivered,Mumbai
76,183,2024-01-06,Delivered,Nagpur
77,228,2025-08-05,Processing,Surat
78,118,2024-04-10,Shipped,Jaipur
79,303,2024-03-25,Delivered,Nagpur
80,226,2025-12-29,Delivered,Jaipur
81,473,2024-04-22,Delivered,Delhi
82,201,2025-03-28,Cancelled,Ahmedabad
83,145,2025-12-16,Delivered,Pune
84,470,2024-04-10,Shipped,Mumbai
85,125,2024-07-16,Cancelled,Delhi
86,112,2025-04-29,Delivered,Nashik
87,356,2025-08-30,Delivered,Chennai
88,78,2024-11-05,Delivered,Bengaluru
89,122,2024-12-31,Shipped,Mumbai
90,399,2025-04-21,Returned,Nagpur
91,12,2025-12-30,Delivered,Surat
92,53,2024-03-10,Shipped,Delhi
93,60,2025-12-13,Delivered,Surat
94,149,2024-12-02,Delivered,Delhi
95,105,2024-02-07,Delivered,Ahmedabad
96,382,2024-09-14,Shipped,Jaipur
97,341,2025-08-30,Processing,Delhi
98,469,2024-10-31,Delivered,Pune
99,118,2025-06-30,Processing,Jaipur
100,84,2024-12-24,Cancelled,Surat
101,134,2024-04-15,Processing,Mumbai
102,458,2024-03-11,Delivered,Mumbai
103,154,2025-01-24,Delivered,Jaipur
104,256,2024-02-08,Delivered,Nashik
105,44,2024-11-14,Shipped,Chennai
106,50,2024-01-26,Delivered,Mumbai
107,374,2025-08-23,Delivered,Mumbai
108,14,2024-04-17,Processing,Mumbai
109,135,2025-08-23,Delivered,Nagpur
110,228,2025-08-21,Delivered,Surat
111,212,2024-10-14,Shipped,Chennai
112,294,2024-07-06,Shipped,Bengaluru
113,101,2025-01-03,Shipped,Delhi
114,358,2024-12-05,Delivered,Jaipur
115,206,2024-06-09,Delivered,Mumbai
116,325,2025-07-02,Delivered,Pune
117,380,2024-03-03,Delivered,Chennai
118,82,2024-05-08,Processing,Jaipur
119,31,2024-10-17,Returned,Hyderabad
120,427,2024-04-10,Delivered,Hyderabad
121,90,2024-11-23,Delivered,Bengaluru
122,92,2025-09-30,Returned,Chennai
123,478,2025-09-29,Delivered,Jaipur
124,309,2024-06-10,Delivered,Ahmedabad
125,474,2024-07-30,Shipped,Bengaluru
126,4,2025-02-17,Delivered,Nashik
127,192,2025-08-27,Shipped,Surat
128,233,2024-01-20,Delivered,Delhi
129,466,2025-03-15,Delivered,Jaipur
130,310,2024-07-08,Delivered,Jaipur
131,130,2025-07-07,Processing,Jaipur
132,175,2025-02-13,Delivered,Hyderabad
133,378,2024-07-16,Delivered,Bengaluru
134,82,2024-08-17,Delivered,Jaipur
135,320,2025-05-08,Delivered,Chennai
136,182,2024-01-01,Delivered,Mumbai
137,300,2025-10-14,Delivered,Surat
138,390,2024-05-05,Cancelled,Bengaluru
139,48,2024-12-09,Delivered,Surat
140,421,2025-11-13,Delivered,Pune
141,171,2024-06-06,Delivered,Nagpur
142,232,2024-05-22,Delivered,Nashik
143,14,2024-06-05,Delivered,Mumbai
144,208,2024-05-31,Delivered,Nashik
145,261,2024-05-08,Delivered,Ahmedabad
146,326,2025-09-20,Delivered,Mumbai
147,172,2024-09-20,Delivered,Nashik
148,263,2024-09-17,Delivered,Kolkata
149,465,2025-03-21,Delivered,Ahmedabad
150,401,2025-10-10,Cancelled,Delhi
151,350,2024-03-13,Delivered,Mumbai
152,26,2024-03-25,Delivered,Mumbai
153,204,2024-03-30,Processing,Surat
154,482,2025-07-04,Processing,Mumbai
155,346,2025-01-19,Returned,Jaipur
156,222,2024-02-02,Delivered,Bengaluru
157,32,2024-08-24,Cancelled,Chennai
158,44,2025-02-25,Processing,Chennai
159,463,2024-05-04,Returned,Hyderabad
160,164,2024-12-30,Delivered,Chennai
161,145,2025-12-09,Delivered,Pune
162,403,2024-10-17,Delivered,Hyderabad
163,236,2024-04-03,Delivered,Chennai
164,109,2024-05-21,Delivered,Pune
165,400,2025-09-24,Delivered,Nashik
166,289,2024-09-18,Delivered,Pune
167,220,2024-11-11,Delivered,Nashik
168,190,2025-11-07,Cancelled,Jaipur
169,366,2024-10-12,Delivered,Bengaluru
170,136,2024-11-25,Delivered,Nashik
171,192,2024-12-03,Delivered,Surat
172,176,2025-02-08,Delivered,Chennai
173,486,2024-09-09,Delivered,Bengaluru
174,267,2024-03-10,Delivered,Nagpur
175,251,2025-06-11,Delivered,Kolkata
176,432,2024-06-05,Delivered,Surat
177,380,2025-07-05,Delivered,Chennai
178,264,2025-08-26,Cancelled,Surat
179,91,2025-03-12,Delivered,Hyderabad
180,497,2024-02-08,Cancelled,Delhi
181,424,2024-10-13,Cancelled,Nashik
182,461,2025-02-26,Delivered,Delhi
183,309,2024-01-29,Shipped,Ahmedabad
184,457,2025-02-14,Delivered,Pune
185,168,2025-06-26,Processing,Surat
186,120,2024-12-28,Delivered,Surat
187,227,2024-01-04,Shipped,Kolkata
188,469,2024-08-29,Processing,Pune
189,495,2024-09-29,Delivered,Nagpur
190,30,2024-07-16,Delivered,Bengaluru
191,218,2025-07-19,Delivered,Mumbai
192,108,2025-01-26,Returned,Surat
193,39,2025-12-04,Processing,Nagpur
194,426,2024-05-16,Delivered,Bengaluru
195,482,2025-10-03,Delivered,Mumbai
