payment_id,order_id,payment_date,payment_method,payment_status,amount
1,1,2025-01-22,Wallet,Completed,234261.25
2,2,2024-06-27,Debit Card,Completed,78200.86
3,3,2025-11-17,Credit Card,Completed,60542.61
4,4,2025-07-21,Cash on Delivery,Completed,17632.29
5,5,2024-12-26,Wallet,Completed,122969.96
6,6,2025-01-26,Wallet,Completed,43278.63
7,7,2024-04-08,Debit Card,Completed,190240.19
8,8,2025-11-26,Wallet,Completed,121614.19
9,9,2025-11-26,Cash on Delivery,Completed,301703.98
10,10,2025-02-09,Cash on Delivery,Completed,103165.48
11,11,2024-07-05,Debit Card,Completed,181170.02
12,12,2024-03-27,Net Banking,Completed,256664.11
13,13,2024-08-24,Debit Card,Pending,117666.4
14,14,2024-12-07,Credit Card,Completed,334622.01
15,15,2025-01-23,UPI,Completed,70437.12
16,16,2025-12-24,UPI,Completed,146240.32
17,17,2025-06-27,Cash on Delivery,Completed,132022.64
18,18,2024-04-21,Cash on Delivery,Completed,48873.16
19,19,2024-09-06,Net Banking,Completed,227644.45
20,20,2024-09-06,Wallet,Completed,50614.04
21,21,2025-04-01,Debit Card,Completed,134159.28
22,22,2025-08-04,Wallet,Completed,296576.44
23,23,2025-11-05,Wallet,Completed,72755.58
24,24,2025-04-12,Net Banking,Completed,184827.88
25,25,2025-12-28,Wallet,Completed,398336.19
26,26,2024-02-16,Cash on Delivery,Completed,216184.5
27,27,2024-04-06,UPI,Completed,306132.33
28,28,2025-04-07,Wallet,Completed,274522.12
29,29,2025-11-05,Credit Card,Completed,42518.01
30,30,2025-06-14,Net Banking,Completed,31973.97
31,31,2025-04-28,Cash on Delivery,Completed,388601.84
32,32,2024-12-12,UPI,Refunded,285805.46
33,33,2024-09-08,UPI,Completed,164110.96
34,34,2025-05-12,Credit Card,Pending,15131.7
35,35,2024-01-30,Net Banking,Completed,109878.21
36,36,2025-10-13,Net Banking,Completed,246237.59
37,37,2025-12-27,Net Banking,Completed,197071.69
38,38,2025-04-28,Debit Card,Completed,258369.07
39,39,2025-11-24,Credit Card,Completed,148124.38
40,40,2025-06-24,Credit Card,Completed,34126.24
41,41,2025-02-16,UPI,Completed,134109.63
42,42,2025-01-06,Credit Card,Completed,71352.5
43,43,2024-11-03,Credit Card,Completed,81652.54
44,44,2024-09-08,Credit Card,Completed,300040.59
45,45,2024-11-18,Net Banking,Completed,40659.54
46,46,2024-03-09,Cash on Delivery,Failed,342194.06
47,47,2025-04-24,Cash on Delivery,Completed,25527.0
48,48,2024-01-15,Net Banking,Completed,33072.7
49,49,2024-05-25,Cash on Delivery,Completed,157263.54
50,50,2025-09-22,Debit Card,Completed,75844.22
51,51,2025-05-02,Debit Card,Completed,62257.3
52,52,2024-07-21,Debit Card,Completed,214417.46
53,53,2024-07-27,Credit Card,Completed,169470.68
54,54,2025-10-28,Wallet,Completed,184427.14
55,55,2025-01-31,UPI,Pending,68463.33
56,56,2025-11-26,UPI,Completed,281587.2
57,57,2024-07-07,Debit Card,Failed,54393.51
58,58,2024-08-21,Debit Card,Refunded,273910.25
59,59,2024-10-18,Net Banking,Completed,275801.78
60,60,2024-01-17,Cash on Delivery,Completed,281623.25
61,61,2025-10-01,Net Banking,Completed,300065.03
62,62,2024-11-22,Credit Card,Completed,108927.18
63,63,2025-09-15,Debit Card,Completed,245149.45
64,64,2025-02-03,UPI,Completed,231911.53
65,65,2025-04-08,Net Banking,Completed,333825.64
66,66,2024-06-27,Net Banking,Completed,180852.68
67,67,2025-11-07,Credit Card,Completed,230477.74
68,68,2025-12-16,Debit Card,Completed,327861.0
69,69,2025-07-13,Wallet,Completed,169737.64
70,70,2024-12-16,Debit Card,Completed,274166.39
71,71,2024-06-24,UPI,Completed,212756.09
72,72,2024-07-31,Wallet,Failed,111208.45
73,73,2025-03-04,Wallet,Completed,120753.21
74,74,2024-06-08,Wallet,Completed,111233.38
75,75,2025-09-22,Credit Card,Completed,195206.96
76,76,2024-01-08,Cash on Delivery,Completed,16203.91
77,77,2025-08-07,Debit Card,Completed,440100.31
78,78,2024-04-10,UPI,Completed,168457.23
79,79,2024-03-27,Credit Card,Completed,93284.56
80,80,2025-12-29,Debit Card,Completed,109752.45
81,81,2024-04-23,Credit Card,Completed,60698.89
82,82,2025-03-28,Net Banking,Completed,170135.14
83,83,2025-12-16,Cash on Delivery,Completed,77671.47
84,84,2024-04-12,Cash on Delivery,Completed,58031.0
85,85,2024-07-17,Wallet,Completed,165551.36
86,86,2025-05-01,Wallet,Completed,55013.91
87,87,2025-08-31,UPI,Completed,182421.71
88,88,2024-11-05,Credit Card,Completed,177888.8
89,89,2024-12-31,Cash on Delivery,Completed,246073.57
90,90,2025-04-23,Cash on Delivery,Refunded,61862.26
91,91,2025-12-31,Wallet,Completed,349160.29
92,92,2024-03-11,UPI,Completed,271405.65
93,93,2025-12-15,Credit Card,Completed,26298.5
94,94,2024-12-02,UPI,Completed,238615.74
95,95,2024-02-09,Credit Card,Completed,17119.81
96,96,2024-09-15,Net Banking,Completed,51467.97
97,97,2025-09-01,Wallet,Completed,113635.69
98,98,2024-11-01,UPI,Completed,154311.36
99,99,2025-06-30,UPI,Completed,248690.91
100,100,2024-12-26,Net Banking,Completed,50313.64
101,101,2024-04-15,Credit Card,Completed,115502.78
102,102,2024-03-11,Net Banking,Completed,190849.15
103,103,2025-01-25,Credit Card,Completed,232217.84
104,104,2024-02-09,Cash on Delivery,Completed,13584.18
105,105,2024-11-16,Net Banking,Completed,432797.37
106,106,2024-01-26,Credit Card,Completed,130856.13
107,107,2025-08-25,Debit Card,Completed,14152.16
108,108,2024-04-18,UPI,Completed,214766.6
109,109,2025-08-24,Credit Card,Completed,94072.3
110,110,2025-08-23,Cash on Delivery,Completed,234323.96
111,111,2024-10-15,Net Banking,Completed,33235.61
112,112,2024-07-08,Credit Card,Completed,15557.86
113,113,2025-01-05,UPI,Completed,324165.03
114,114,2024-12-06,Net Banking,Completed,131483.32
115,115,2024-06-09,Credit Card,Pending,43642.17
116,116,2025-07-04,UPI,Completed,12266.21
117,117,2024-03-04,Cash on Delivery,Pending,147065.42
118,118,2024-05-09,Cash on Delivery,Completed,21462.84
119,119,2024-10-17,Credit Card,Refunded,88175.99
120,120,2024-04-12,Cash on Delivery,Completed,268360.56
121,121,2024-11-24,Wallet,Completed,314619.27
122,122,2025-10-01,Wallet,Refunded,78462.45
123,123,2025-09-29,Cash on Delivery,Refunded,50128.08
124,124,2024-06-10,Net Banking,Completed,81641.3
125,125,2024-07-30,Cash on Delivery,Completed,233539.21
126,126,2025-02-19,Wallet,Completed,183036.98
127,127,2025-08-29,UPI,Completed,389996.39
128,128,2024-01-21,Cash on Delivery,Completed,93968.42
129,129,2025-03-15,Credit Card,Completed,42259.09
130,130,2024-07-08,Credit Card,Completed,256495.14
131,131,2025-07-07,Debit Card,Failed,22626.95
132,132,2025-02-14,Credit Card,Completed,323185.38
133,133,2024-07-17,Debit Card,Completed,141672.26
134,134,2024-08-19,UPI,Completed,58651.08
135,135,2025-05-10,Credit Card,Completed,159459.94
136,136,2024-01-01,UPI,Completed,41351.5
137,137,2025-10-16,Net Banking,Completed,319988.2
138,138,2024-05-05,Credit Card,Pending,215053.92
139,139,2024-12-11,Wallet,Completed,362973.26
140,140,2025-11-15,Cash on Delivery,Refunded,110635.91
141,141,2024-06-08,Wallet,Completed,194024.44
142,142,2024-05-23,Credit Card,Completed,27514.61
143,143,2024-06-06,Wallet,Completed,236868.06
144,144,2024-06-02,Cash on Delivery,Completed,358700.81
145,145,2024-05-10,Cash on Delivery,Completed,70775.16
146,146,2025-09-21,Cash on Delivery,Completed,38494.0
147,147,2024-09-20,Wallet,Completed,25679.71
148,148,2024-09-18,UPI,Completed,149550.47
149,149,2025-03-22,UPI,Completed,118689.04
150,150,2025-10-11,UPI,Refunded,246236.13
151,151,2024-03-14,Cash on Delivery,Completed,334837.73
152,152,2024-03-25,Credit Card,Completed,275911.23
153,153,2024-03-31,Debit Card,Completed,218445.69
154,154,2025-07-05,Net Banking,Completed,91698.62
155,155,2025-01-19,Credit Card,Refunded,127117.32
156,156,2024-02-04,Wallet,Completed,52387.03
157,157,2024-08-25,Cash on Delivery,Completed,25426.16
158,158,2025-02-27,Net Banking,Completed,104706.57
159,159,2024-05-05,Cash on Delivery,Refunded,160363.21
160,160,2025-01-01,Debit Card,Completed,162484.95
161,161,2025-12-11,Cash on Delivery,Completed,555615.88
162,162,2024-10-18,Credit Card,Completed,92192.04
163,163,2024-04-05,Wallet,Completed,24803.63
