product_id,product_name,category_id,price,cost_price,stock_quantity,rating,added_date
1,Pro Phone 1,7,61223.09,26603.45,222,3.9,2025-01-03
2,Smart Laptop 2,5,37058.41,24016.13,158,3.9,2025-04-17
3,Classic Headphones 3,1,4965.67,2254.57,39,2.9,2023-03-19
4,Premium T-Shirt 4,3,13786.06,10090.49,220,4.4,2023-11-10
5,Eco Jeans 5,8,55145.14,24832.49,9,3.6,2024-12-10
6,Ultra Mixer 6,2,23477.27,18065.13,154,4.9,2023-12-31
7,Essential Cookware Set 7,1,35676.25,23185.94,298,4.3,2023-05-25
8,Advanced Novel 8,6,22821.11,11696.47,103,3.3,2023-01-11
9,Pro Face Wash 9,7,6781.71,4996.16,159,4.6,2025-07-09
10,Smart Cricket Bat 10,8,36772.23,16723.49,241,3.1,2025-09-17
11,Classic Chair 11,5,14798.13,11837.92,137,4.5,2023-02-11
12,Premium Desk 12,4,18914.62,14132.88,95,4.8,2023-06-30
13,Eco Backpack 13,8,10699.88,7062.28,18,3.9,2025-09-22
14,Ultra Watch 14,5,18638.1,14849.37,84,4.7,2023-09-01
15,Essential Keyboard 15,7,38780.21,19509.56,193,4.5,2024-09-05
16,Advanced Mouse 16,1,20180.87,11061.59,264,4.7,2023-12-05
17,Pro Monitor 17,3,51126.99,23081.96,147,3.9,2024-03-06
18,Smart Shoes 18,8,39067.76,17655.01,118,3.9,2023-12-07
19,Classic Lamp 19,7,5338.31,3238.89,161,4.8,2024-09-20
20,Premium Bottle 20,6,8509.0,5407.45,98,2.9,2023-07-11
21,Eco Phone 21,5,20716.8,13501.4,278,4.1,2024-07-20
22,Ultra Laptop 22,1,17067.94,8412.86,160,5.0,2024-09-25
23,Essential Headphones 23,7,30218.35,14377.43,188,4.8,2024-05-30
24,Advanced T-Shirt 24,6,61484.98,28900.02,140,3.1,2025-05-16
25,Pro Jeans 25,5,24414.21,13258.65,221,4.2,2024-02-21
26,Smart Mixer 26,8,44612.14,29538.88,247,4.4,2025-01-03
27,Classic Cookware Set 27,6,4568.95,3803.71,107,4.5,2025-08-21
28,Premium Novel 28,4,51188.01,29567.65,100,3.7,2025-09-04
29,Eco Face Wash 29,1,4861.83,2636.1,239,4.6,2023-09-24
